class_id,class_name,tp,fp,fn,support,precision,recall,f1
0,person,5495,1460,7767,13262,0.790079079798706,0.4143417282461167,0.5436019191769302
1,rider,0,0,649,649,0.0,0.0,0.0
2,car,49921,8331,52585,102506,0.8569834512119755,0.48700563869432034,0.6210701800221451
3,truck,1932,2791,2313,4245,0.4090620368409909,0.4551236749116608,0.43086529884032115
4,bus,678,615,919,1597,0.5243619489559165,0.4245460237946149,0.469204152249135
5,train,2,106,13,15,0.018518518518518517,0.13333333333333333,0.03252032520325203
6,bike,272,108,735,1007,0.7157894736842105,0.2701092353525323,0.3922134102379236
7,motor,147,80,305,452,0.6475770925110133,0.3252212389380531,0.43298969072164945
8,traffic light,4419,3056,22466,26885,0.5911705685618729,0.16436674725683467,0.2572176949941793
9,traffic sign,213,11,34695,34908,0.9508928571428571,0.006101753179786868,0.01212569736991916
